episode_index,dim,name,rmse,max_abs_change,first_diff_var_before,first_diff_var_after,first_diff_var_reduction,rmse_over_std,applied,note
0,0,main_shoulder_pan,0.03212959683420419,0.15066964285711038,0.47588251352383376,0.47108566498697446,0.01007990081698822,0.0012340987740940598,True,
0,1,main_shoulder_lift,0.028143325976802195,0.13560267857145902,0.6030430067453952,0.5988334029860581,0.006980602896062426,0.0010233419977352311,True,
0,2,main_elbow_flex,0.024490517298101633,0.09793526785716011,0.1859225744134757,0.18285714164080885,0.016487684630751707,0.0019113721297671186,True,
0,3,main_wrist_flex,0.026005575511742235,0.09793526785711748,0.29157807777745753,0.28823936027828617,0.011450509327109244,0.001614625953228048,True,
0,4,main_wrist_roll,0.07753937858952788,0.32393973214281857,0.10310779887904964,0.07728489789118909,0.25044566239021404,0.01514144559413649,True,
0,5,main_gripper,0.0,0.0,,,,,False,gripper_excluded
1,0,main_shoulder_pan,0.03577853282337467,0.17327008928567977,0.4807185084654642,0.4759011574575,0.010021147351580073,0.0013817162488240914,True,
1,1,main_shoulder_lift,0.02850854472015558,0.14313616071432023,0.5131423971045145,0.5087665150780907,0.008527617384794938,0.0009658711641490176,True,
1,2,main_elbow_flex,0.025646769999523554,0.10546874999997158,0.21384523052730192,0.21091212325280947,0.013716028490604906,0.0014563743018875704,True,
1,3,main_wrist_flex,0.024366521854566038,0.07533482142859071,0.25910080492902887,0.2563166903976183,0.010745294798189423,0.001263954119335845,True,
1,4,main_wrist_roll,0.06628008062310022,0.2787388392856798,0.1396752036125245,0.12021913330548693,0.13929509178315574,0.009685155026670238,True,
1,5,main_gripper,0.0,0.0,,,,,False,gripper_excluded
2,0,main_shoulder_pan,0.03850823344185171,0.14313616071428115,0.5588631043787315,0.5526503956225027,0.011116691561049217,0.0015261097827030138,True,
2,1,main_shoulder_lift,0.03579489505407552,0.15066964285718143,0.5209326975625137,0.5142574738101454,0.012813984961209383,0.0014131113475631812,True,
2,2,main_elbow_flex,0.02581562548085032,0.12053571428575083,0.19499949605085462,0.19201482050079546,0.015306068018148995,0.0022284551661730895,True,
