episode_index,n_frames,accepted,reasons,wrist_from_timestamp,wrist_to_timestamp
0,454,True,,0.0,15.133333
1,468,True,,15.133333,30.733333000000002
2,420,True,,30.733333000000002,44.733333
3,416,True,,44.733333,58.6
4,401,True,,58.6,71.966667
5,354,True,,71.966667,83.766667
6,357,True,,83.766667,95.666667
7,351,True,,95.666667,107.366667
8,368,True,,107.366667,119.633334
9,388,True,,119.633334,132.566667
10,364,True,,132.566667,144.7
11,377,True,,144.7,157.26666699999998
12,369,True,,157.26666699999998,169.566667
13,357,True,,169.566667,181.466667
14,375,True,,181.466667,193.966667
15,384,True,,193.966667,206.766667
16,365,True,,206.766667,218.933334
17,409,True,,218.933334,232.566667
18,385,True,,232.566667,245.4
19,367,True,,245.4,257.633333
20,366,True,,257.633333,269.833333
21,370,True,,269.833333,282.16666599999996
22,387,True,,282.16666599999996,295.06666599999994
23,375,True,,295.06666599999994,307.56666599999994
24,365,True,,307.56666599999994,319.73333299999996
25,408,True,,319.73333299999996,333.333333
26,353,True,,333.333333,345.09999999999997
27,326,True,,345.09999999999997,355.966667
28,378,True,,355.966667,368.566667
29,374,True,,368.566667,381.03333399999997
30,418,True,,381.03333399999997,394.966667
31,575,True,,394.966667,414.133334
32,416,True,,414.133334,428.000001
33,425,True,,428.000001,442.166668
34,376,True,,442.166668,454.70000100000004
35,393,True,,454.70000100000004,467.80000100000007
36,440,True,,467.80000100000007,482.4666680000001
37,382,True,,482.4666680000001,495.2000010000001
38,402,True,,495.2000010000001,508.6000010000001
39,341,True,,508.6000010000001,519.966668
40,473,True,,519.966668,535.733335
41,475,True,,535.733335,551.566668
42,417,True,,551.566668,565.466668
43,423,True,,565.466668,579.566668
44,367,True,,579.566668,591.8000010000001
45,351,True,,591.8000010000001,603.5000010000001
46,346,True,,603.5000010000001,615.0333340000001
47,418,True,,615.0333340000001,628.966667
48,361,True,,628.966667,641.0
49,401,True,,641.0,654.366667
